context|original_question|generated_question|original answer|generated_answer
Throughout its history, the United Methodist Church has placed great emphasis on the importance of education. As such, the United Methodist Church established and is affiliated with around one hundred colleges and universities in the United States, including Syracuse University, Boston University, Emory University, Duke University, Drew University, University of Denver, University of Evansville, and Southern Methodist University. Most are members of the International Association of Methodist-related Schools, Colleges, and Universities. The church operates three hundred sixty schools and institutions overseas.|How many schools and institutions does the church operate overseas?|What is the number of schools and institutions overseas that the United Methodist Church operates?|three hundred sixty schools and institutions overseas.|The United Methodist Church operates three hundred sixty schools and institutions overseas.
Some agriculturalists also regularly hunt and gather (e.g., farming during the frost-free season and hunting during the winter). Still others in developed countries go hunting, primarily for leisure. In the Brazilian rainforest, those groups that recently did, or even continue to, rely on hunting and gathering techniques seem to have adopted this lifestyle, abandoning most agriculture, as a way to escape colonial control and as a result of the introduction of European diseases reducing their populations to levels where agriculture became difficult.[citation needed][dubious – discuss]|What do they sometimes do for entertainment?|What do some people in developed countries do primarily for leisure?|go hunting|Some people in developed countries go hunting primarily for leisure.
Decisions in-between the four-year meetings are made by the Mission Council (usually consisting of church bishops). One of the most high profile decisions in recent years by one of the councils was a decision by the Mission Council of the South Central Jurisdiction which in March 2007 approved a 99-year lease of 36 acres (150,000 m2) at Southern Methodist University for the George W. Bush Presidential Library. The decision generated controversy in light of Bush's support of the Iraq War which the church bishops have criticized. A debate over whether the decision should or could be submitted for approval by the Southern Jurisdictional Conference at its July 2008 meeting in Dallas, Texas, remains unresolved.|Who makes decisions in between the four-year meetings?|Who makes decisions in-between the four-year meetings for the church?|the Mission Council (usually consisting of church bishops)|The Mission Council, usually consisting of church bishops, makes decisions in-between the four-year meetings for the church.
In May 1970, the Revolutionary Intellectuals Seminar was held to bring intellectuals in line with the revolution, while that year's Legislative Review and Amendment united secular and religious law codes, introducing sharia into the legal system. Ruling by decree, the RCC maintained the monarchy's ban on political parties, in May 1970 banned trade unions, and in 1972 outlawed workers' strikes and suspended newspapers. In September 1971, Gaddafi resigned, claiming to be dissatisfied with the pace of reform, but returned to his position within a month. In February 1973, he resigned again, once more returning the following month.|What was the impact of incorporating the sharia into the legal system?|What was the significance of the Legislative Review and Amendment in 1970?|united secular and religious law codes|The Legislative Review and Amendment in 1970 united secular and religious law codes and introduced sharia into the legal system. This was a significant step towards the implementation of Islamic principles in the country's legal system.
In the United States, the industry in 2014 has around $960 billion in annual revenue according to statistics tracked by the Census Bureau, of which $680 billion is private (split evenly between residential and nonresidential) and the remainder is government. As of 2005, there were about 667,000 firms employing 1 million contractors (200,000 general contractors, 38,000 heavy, and 432,000 specialty); the average contractor employed fewer than 10 employees. As a whole, the industry employed an estimated 5.8 million as of April 2013, with a 13.2% unemployment rate. In the United States, approximately 828,000 women were employed in the construction industry as of 2011.|What is the annual construction industry revenue in 2014?|What was the annual revenue of the construction industry in the United States in 2014 according to statistics tracked by the Census Bureau?|$960 billion|The annual revenue of the construction industry in the United States in 2014 according to statistics tracked by the Census Bureau was around $960 billion.
The High Middle Ages was a period of great religious movements. Besides the Crusades and monastic reforms, people sought to participate in new forms of religious life. New monastic orders were founded, including the Carthusians and the Cistercians. The latter especially expanded rapidly in their early years under the guidance of Bernard of Clairvaux (d. 1153). These new orders were formed in response to the feeling of the laity that Benedictine monasticism no longer met the needs of the laymen, who along with those wishing to enter the religious life wanted a return to the simpler hermetical monasticism of early Christianity, or to live an Apostolic life. Religious pilgrimages were also encouraged. Old pilgrimage sites such as Rome, Jerusalem, and Compostela received increasing numbers of visitors, and new sites such as Monte Gargano and Bari rose to prominence.|When did Bernard of Clairvaux die?|What was the year of Bernard of Clairvaux's death?|1153|Bernard of Clairvaux died in 1153.
The neopositivists subscribed to a notion of philosophy as the conceptual clarification of the methods, insights and discoveries of the sciences. They saw in the logical symbolism elaborated by Frege (1848–1925) and Bertrand Russell (1872–1970) a powerful instrument that could rationally reconstruct all scientific discourse into an ideal, logically perfect, language that would be free of the ambiguities and deformations of natural language. This gave rise to what they saw as metaphysical pseudoproblems and other conceptual confusions. By combining Frege's thesis that all mathematical truths are logical with the early Wittgenstein's idea that all logical truths are mere linguistic tautologies, they arrived at a twofold classification of all propositions: the analytic (a priori) and the synthetic (a posteriori). On this basis, they formulated a strong principle of demarcation between sentences that have sense and those that do not: the so-called verification principle. Any sentence that is not purely logical, or is unverifiable is devoid of meaning. As a result, most metaphysical, ethical, aesthetic and other traditional philosophical problems came to be considered pseudoproblems.|What did Frege say about math?|What was Frege's thesis that the neopositivists combined with the early Wittgenstein's idea to arrive at a twofold classification of all propositions?|all mathematical truths are logical|Frege's thesis that all mathematical truths are logical was combined with the early Wittgenstein's idea that all logical truths are mere linguistic tautologies to arrive at a twofold classification of all propositions: the analytic (a priori) and
"Smyth, convinced that his self-baptism was invalid, applied with the Mennonites for membership. He died while waiting for membership, and some of his followers became Mennonites. Thomas Helwys and others kept their baptism and their Baptist commitments. The modern Baptist denomination is an outgrowth of Smyth's movement. Baptists rejected the name Anabaptist when they were called that by opponents in derision. McBeth writes that as late as the 18th century, many Baptists referred to themselves as ""the Christians commonly—though falsely—called Anabaptists."""|"Who wrote that Baptists referred to themselves as ""the Christians commonly—though falsely—called Anabaptists?"""|"What is the source that states that many Baptists referred to themselves as ""the Christians commonly—though falsely—called Anabaptists"" in the 18th century?"|McBeth|"According to McBeth, many Baptists referred to themselves as ""the Christians commonly—though falsely—called Anabaptists"" as late as the 18th century."
"Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience."" A technical defense may enhance the chances for acquittal but make for more boring proceedings and reduced press coverage. During the Vietnam War era, the Chicago Eight used a political defense, while Benjamin Spock used a technical defense. In countries such as the United States whose laws guarantee the right to a jury trial but do not excuse lawbreaking for political purposes, some civil disobedients seek jury nullification. Over the years, this has been made more difficult by court decisions such as Sparf v. United States, which held that the judge need not inform jurors of their nullification prerogative, and United States v. Dougherty, which held that the judge need not allow defendants to openly seek jury nullification."|What is a secondary goal of pleading not guilty?|What are the two primary goals that defendants must decide between when pleading not guilty according to Steven Barkan?|use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case|According to Steven Barkan, if defendants plead not guilty, they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the
"In 2002, IBM acquired PwC consulting. In 2003 it initiated a project to redefine company values. Using its Jam technology, it hosted a three-day Internet-based online discussion of key business issues with 50,000 employees. Results were data mined with sophisticated text analysis software (eClassifier) for common themes. Three emerged, expressed as: ""Dedication to every client's success"", ""Innovation that matters—for our company and for the world"", and ""Trust and personal responsibility in all relationships"". Another three-day Jam took place in 2004, with 52,000 employees discussing ways to implement company values in practice."|One company that IBM acquired in 2002 is?|What company did IBM acquire in 2002?|PwC consulting|IBM acquired PwC consulting in 2002.
